TimeStamp,inject_serive,inject_type,time,last_time (s)
2022-03-29 00:04:00,emailservice,cpu,7689,180
2022-03-29 00:23:00,mysql,db_delay,7708,180
2022-03-29 00:42:00,productcatalogservice,latency,7727,180
2022-03-29 01:01:00,adservice,faulty-update,7746,180
2022-03-29 01:20:00,recommendationservice,cpu,7765,180
2022-03-29 01:38:00,productcatalogservice,latency,7783,180
2022-03-29 01:57:00,checkoutservice,faulty-update,7802,180
2022-03-29 02:16:00,browseproduct,excessive flow,7821,180
2022-03-29 02:35:00,mysql,db_delay,7840,180
2022-03-29 02:54:00,browseproduct,excessive flow,7859,180
2022-03-29 03:13:00,setcurrency,excessive flow,7878,180
2022-03-29 03:32:00,browseproduct,excessive flow,7897,180
2022-03-29 03:51:00,mysql,db_delay,7916,180
2022-03-29 04:10:00,productcatalogservice,faulty-update,7935,180
2022-03-29 04:29:00,cartservice,faulty-update,7954,180
2022-03-29 04:47:00,recommendationservice,latency,7972,180
2022-03-29 05:06:00,viewcart,excessive flow,7991,180
2022-03-29 05:26:00,adservice,faulty-update,8011,180
2022-03-29 05:44:00,adservice,faulty-update,8029,180
2022-03-29 06:03:00,checkout,excessive flow,8048,180
2022-03-29 06:22:00,adservice,cpu,8067,180
2022-03-29 06:41:00,checkoutservice,faulty-update,8086,180
2022-03-29 07:00:00,viewcart,excessive flow,8105,180
2022-03-29 07:18:00,mysql,db_delay,8123,180
2022-03-29 07:37:00,mysql,db_delay,8142,180
2022-03-29 07:57:00,recommendationservice,faulty-update,8162,180
2022-03-29 08:16:00,emailservice,cpu,8181,180
2022-03-29 08:34:00,setcurrency,excessive flow,8199,180
2022-03-29 08:53:00,checkoutservice,faulty-update,8218,180
2022-03-29 09:12:00,adservice,cpu,8237,180
2022-03-29 09:31:00,shippingservice,faulty-update,8256,180
2022-03-29 09:50:00,adservice,faulty-update,8275,180
2022-03-29 10:09:00,setcurrency,excessive flow,8294,180
2022-03-29 10:28:00,setcurrency,excessive flow,8313,180
2022-03-29 10:47:00,checkoutservice,faulty-update,8332,180
2022-03-29 11:05:00,addtocart,excessive flow,8350,180
2022-03-29 11:25:00,recommendationservice,faulty-update,8370,180
2022-03-29 11:43:00,adservice,cpu,8388,180
2022-03-29 12:02:00,mysql,db_delay,8407,180
2022-03-29 12:21:00,emailservice,faulty-update,8426,180
2022-03-29 12:40:00,mysql,db_delay,8445,180
2022-03-29 12:59:00,addtocart,excessive flow,8464,180
2022-03-29 13:18:00,addtocart,excessive flow,8483,180
2022-03-29 13:38:00,emailservice,faulty-update,8503,180
2022-03-29 13:57:00,mysql,db_delay,8522,180
2022-03-29 14:17:00,emailservice,faulty-update,8542,180
2022-03-29 14:36:00,mysql,db_delay,8561,180
2022-03-29 14:55:00,mysql,db_delay,8580,180
2022-03-29 15:14:00,addtocart,excessive flow,8599,180
2022-03-29 15:34:00,adservice,cpu,8619,180
2022-03-29 15:53:00,adservice,cpu,8638,180
2022-03-29 16:12:00,adservice,cpu,8657,180
2022-03-29 16:31:00,currencyservice,faulty-update,8676,180
2022-03-29 16:50:00,mysql,db_delay,8695,180
2022-03-29 17:09:00,mysql,db_delay,8714,180
2022-03-29 17:28:00,cartservice,faulty-update,8733,180
2022-03-29 17:49:00,productcatalogservice,faulty-update,8754,180
2022-03-29 18:08:00,paymentservice,faulty-update,8773,180
2022-03-29 18:26:00,mysql,db_delay,8791,180
2022-03-29 18:45:00,adservice,cpu,8810,180
2022-03-29 19:03:00,adservice,cpu,8828,180
2022-03-29 19:22:00,adservice,cpu,8847,180
2022-03-29 19:41:00,checkoutservice,faulty-update,8866,180
2022-03-29 20:01:00,cartservice,faulty-update,8886,180
2022-03-29 20:19:00,productcatalogservice,faulty-update,8904,180
2022-03-29 20:38:00,setcurrency,excessive flow,8923,180
2022-03-29 20:57:00,addtocart,excessive flow,8942,180
2022-03-29 21:16:00,shippingservice,cpu,8961,180
2022-03-29 21:34:00,emailservice,faulty-update,8979,180
2022-03-29 21:53:00,currencyservice,faulty-update,8998,180
2022-03-29 22:11:00,setcurrency,excessive flow,9016,180
2022-03-29 22:31:00,viewcart,excessive flow,9036,180
2022-03-29 22:50:00,mysql,db_delay,9055,180
2022-03-29 23:09:00,mysql,db_delay,9074,180
2022-03-29 23:29:00,checkoutservice,latency,9094,180
2022-03-29 23:47:00,browseproduct,excessive flow,9112,180
2022-03-30 00:07:00,mysql,db_delay,9132,180
2022-03-30 00:26:00,browseproduct,excessive flow,9151,180
2022-03-30 00:44:00,emailservice,faulty-update,9169,180
